,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
1227,Kai Oliver Pfaffenbach,Germany,,set(),0,set(),0,set(),0
1228,Kai Wiedenhöfer,Germany,,set(),0,set(),0,set(),0
1229,Kaljman Kaspiev,Azerbaijan,"Kaljman Kaspiev, born in Baku, in the what was then the Soviet Union and now Azerbaijan, worked as a special photographer for ITAR-TASS. In the early 1970s he moved to New York City.",{'Kaljman Kaspiev'},1,set(),0,"{'the Soviet Union', 'Baku', 'Azerbaijan', 'New York City'}",4
1230,Kalpesh Lathigra,United Kingdom,,set(),0,set(),0,set(),0
1231,Kang Kyung-ran,South Korea,"Kang Kyung-ran is the Chief Producer and Director of Frontline News Service (FNS), an independent agency based in Seoul that produces and distributes news and documentaries around the world. Frequently risking her safety and putting herself in hazardous situations, Kang has produced almost 200 documentaries in over 50 countries, such as Afghanistan, Albania, Burma, Cambodia, Indonesia, Iraq, Iran, Israel-Palestine, Kosovo, Laos, Somalia, etc., mainly focusing on areas of conflict. Kang has interviewed multiple political leaders in conflict areas, including Xanana Gusmao, former President of East Timor, Hun Sen, Prime Minster of Cambodia, the late Abdel Aziz al-Rantissi, former leader of Hamas, and Wakil Ahmad Muttawakil, former Foreign Minister in the Taliban government of the Islamic Emirate of Afghanistan. She also has interviewed Nobel Peace Prize winners, Aung San Su Kyi of Burma and Shirin Ebady of Iran. Kang has received numerous awards for her inspiring documentaries. She took the 2002 Best Documentary Award from the Democratic Press Association in South Korea for Afghanistan, 1 Year After. In 2003, she was invited to the Peabody Award for Far Far from Jerusalem. At the 2009 International Documentary Festival Amsterdam (IDFA), Iron Crow from her produced five-part documentary, A Human Land got the winner of the middle length competition. Another part from A Human Land titled Survivors: Days in Zhari Police Station was also invited to the 2009 IDFA for the Panoramic Section of Reflecting Image. In 2010, the Best Producer Award of the Year was given to her for cinematic value and influence of her works and for social responsibility as a director and producer. Kang was a member of the 2011 multimedia contest jury.","{'Xanana Gusmao', 'Kang', 'Hun Sen', 'Kang Kyung-ran', 'Wakil Ahmad Muttawakil', 'Abdel Aziz al-Rantissi', 'Aung San Su Kyi', 'Iron Crow'}",8,"{'the Islamic Emirate of', 'the Peabody Award for Far Far', 'IDFA', 'the Democratic Press Association', 'Frontline News Service', 'the Panoramic Section of Reflecting Image', 'Zhari Police Station', 'Hamas', 'Taliban', 'FNS'}",10,"{'Israel', 'Kosovo', 'Jerusalem', 'Seoul', 'Iraq', 'Laos', 'Cambodia', 'Albania', 'Burma', 'Palestine', 'South Korea', 'Somalia', 'Indonesia', 'Shirin Ebady', 'Iran', 'East Timor', 'Afghanistan'}",17
1232,Karel E. Vereecken,The Netherlands,,set(),0,set(),0,set(),0
1233,Karel Prinsloo,Namibia,,set(),0,set(),0,set(),0
1234,Karim Daher,France,,set(),0,set(),0,set(),0
1235,Karim Fezzazi,Morocco,"Karim Fezzazi (Morocco, 1965) has been interested in photography from the moment he was presented with his first camera at the age of 12. Born in Fez, he studied communication in Casablanca, where photography was an essential part of the curriculum. In 2000, he joined the Moroccan magazine News Photo as a photojournalist. He took part in the 2004 Photokina in Cologne, was involved in the launch of the Canon Ixus in London, and attended a World Press Photo workshop in Amman, Jordan. Since 2007, Fezzazi has been a photojournalist at Morocco’s foremost Arab-language daily newspaper, Al Massae.","{'Al Massae', 'Karim Fezzazi'}",2,"{'the Canon Ixus', 'Fezzazi', 'News Photo'}",3,"{'Cologne', 'Jordan', 'Casablanca', 'London', 'Amman', 'Photokina', 'Morocco'}",7
1236,Karim Khelifa,Tunisia,"Karim Ben Khelifa has been a professional photojournalist since 1998. In 2000, he attended the prestigious Joop Swart Masterclass at World Press Photo. His photo exhibitions have been shown all across the globe. He is a Nieman Fellow at Harvard University, as well as a visiting scholar at the Open Documentary Lab at MIT.","{'Joop Swart', 'Karim Ben Khelifa'}",2,"{'MIT', 'Harvard University', 'World Press Photo', 'the Open Documentary Lab'}",4,set(),0
1237,Karl Lang,Germany,,set(),0,set(),0,set(),0
1238,Karla Gachet,Ecuador,,set(),0,set(),0,set(),0
1239,Karolina Jonderko,none,"Karolina Jonderko (1985) is an Polish photographer based in her home country, where she works on a variety of projects both locally and internationally.

Most of her long-term projects focus on the aftermath of loss. Having experienced loss herself, she aims to draw attention to the issues people face when dealing with it.

Jonderko holds a master's degree in Photography from the Polish National Film, Television and Theater School in Lodz.

Her work has been recognized by the Lumix Festival for Young Photojournalism, Grand Press Photo, Ideas Tap and Magnum Photos Awards and the International Photography Awards among others. She is a member of Napo Images Agency.

World Press Photo Involvement:
Award-winning photographer 2021 Photo Contest
Joop Swart Masterclass 2016

Karolina Jonderko on Social Media: 
Instagram: @karolinajonderko
Twitter: @karfot25 Image credit: Karolina Jonderko","{'Joop Swart', 'Karolina Jonderko'}",2,"{'Napo Images Agency', 'Photo Contest', 'the Polish National Film, Television and Theater School', 'World Press Photo Involvement', 'the International Photography Awards', 'Ideas Tap and Magnum Photos Awards'}",6,"{'Lodz', 'Photography', 'Karolina'}",3
1240,Katalin Arkell,United Kingdom,,set(),0,set(),0,set(),0
1241,Katerina Cizek,none,"Her work has documented the Digital Revolution, and has itself become part of the movement. At the National Film Board of Canada, she helped redefine the organization as one of the world’s leading digital content hubs. She is the director and creative force behind the NFB’s award-winning multi-year digital documentary project HIGHRISE, and she realized the acclaimed NFB Filmmaker-in-Residence program. Cizek has forged unconventional, creative partnerships with such diverse organizations ranging from an inner-city teaching hospital to Mozilla Foundation, to more recently, The New York Times and leading YouTube sensations. Her projects are also interventionist, and participatory: they have significantly contributed to conversations about health-care policy, urban planning as well as the health outcomes and living conditions of the participants themselves. Her work has been recognized with 2 Emmys, a Peabody Award, World Press Photo Prize, 3 Canadian Screen Awards, and Webby, amongst others. Cizek‘s earlier independent films include the Hampton-Prize winner Seeing is Believing: Handicams, Human Rights and the News (co-directed with Peter Wintonick). Her work has been seen by millions around the globe, through TV broadcasts and publishing on the web. She is currently leading a new initiative at MIT’s Open Documentary Lab. She has travelled the world with her projects, teaching and lecturing about her innovative approaches to the documentary genre and digital media. She has worked on numerous international Juries, including Grand Juries at The International Documentary Festival in Amsterdam and the One World Festival in Prague.","{'Webby', 'a Peabody Award', 'Human Rights', 'Peter Wintonick'}",4,"{'World Press Photo Prize', 'MIT’s Open Documentary Lab', 'NFB', 'Cizek', 'Mozilla Foundation', 'YouTube', 'the National Film Board of Canada', 'The New York Times'}",8,"{'Amsterdam', 'Prague'}",2
1242,Kathleen Flynn,none,Photo credit: Kathleen Flynn by © Edmund Fountain,{'Kathleen Flynn'},1,set(),0,set(),0
1243,Kathy Moran,United States,"Kathy Moran is National Geographic magazine’s deputy director of Photography.  

As the magazine’s first senior editor for natural history projects, Moran has been producing projects about terrestrial and underwater ecosystems for the magazine since 1990. At last count she has edited over 350 stories for the magazine. She was the project manager for the National Geographic Society/Wildlife Conservation Society’s collaboration of photographer Nick Nichols and Dr. Michael Fay’s trek across Central Africa. The resulting stories were the impetus for the creation of Gabon’s national park system.  

Kathy Moran has edited several books for the Society, including Women Photographers at the National Geographic, The Africa Diaries – An Illustrated Life in the Bush, Cat Shots and most recently, Tigers Forever. She was the photo editor for two anthems of wildlife photography, ‘100 Best Wildlife Pictures’ and ‘Wildlife, The Best Photos.’ She recently curated an exhibition for the Society’s museum, ‘50 Best Wildlife Photographs.’ She was named Picture Editor of the Year for her winning portfolios in the 2017 and 2006 POYi competition and the 2011 Best of Photo competition. 

Kathy Moran is a founding member of the International League of Conservation Photographers and has served on the Executive Committee.  She has edited numerous books for ILCP photographers published with the University of Chicago Press. She served on the Executive Committee of Wildscreen USA. She has been on the jury for numerous photo competitions including Por el Planeta, Big Picture Natural World Competition, POYi, Montphoto, Wildlife Photographer of the Year and European Wildlife Photographer of the Year.

She lives in Arlington, VA, United States.


Kathy Moran on Social Media:
Instagram: @kfmoran Portrait credit: Mark Thiessen & Rebecca Hale, National Geographic","{'Wildlife Photographer', 'Bush', 'Kathy Moran', 'Nick Nichols', 'Rebecca Hale', 'Michael Fay’s', '@kfmoran Portrait', 'Gabon', 'The Best Photos'}",9,"{'the University of Chicago Press', 'National Geographic', 'the Executive Committee of Wildscreen USA', 'Society', 'Big Picture Natural World Competition', 'Montphoto', 'European Wildlife Photographer', 'Tigers Forever', 'Photography', 'Por el Planeta', 'The Africa Diaries', 'Society’s', 'Cat Shots', 'the International League of Conservation Photographers', 'Social Media', 'the National Geographic Society/Wildlife Conservation Society’s', 'the National Geographic', 'Moran', 'the Executive Committee', 'Mark Thiessen &'}",20,"{'United States', 'Central Africa', 'VA', 'Arlington'}",4
1244,Katie Orlinsky,United States,"Katie Orlinsky was born and raised in New York City, USA and began her career as a photographer in 2007. 

Orlinsky has photographed all over the world, documenting everything from conflict and social issues, to wildlife and sports. From 2015 onwards, she has focused on climate change, exploring the changing relationships between people, animals and the land in the Arctic. 

Orlinsky is a contributing photographer with National Geographic, and her work is frequently published in The New York Times, The New Yorker, and the Smithsonian Magazine, among others. She has won numerous awards over the course of her career from institutions such as the Art Director’s Club, PDN30, Visa Pour L’image, Pictures of the Year International, the Getty Images Grant for Editorial Photography, and the Paris Match Female Photojournalist of the Year. 

She received a Masters Degree in Journalism from Columbia University and, in 2018, was a visiting professor and the Snedden Chair of Journalism at the University of Alaska, Fairbanks.

World Press Photo Involvement:
2020 Photo Contest award-winning photographer

Katie Orlinsky on Social Media:
Instagram: @katieorlinsky
Twitter: @KatieOrlinsky Image credit: Katie Orlinsky","{'Visa Pour L’image', 'Orlinsky', '@KatieOrlinsky Image', 'Katie Orlinsky'}",4,"{'the Year International', 'the Snedden Chair of Journalism', 'the Getty Images Grant for Editorial Photography', 'The New Yorker', 'National Geographic', 'the Smithsonian Magazine', 'Columbia University', 'Fairbanks', '@katieorlinsky', 'the University of Alaska', 'The New York Times', 'Social Media'}",12,"{'USA', 'New York City'}",2
1245,Katie Worth,none,Photo Credit: Katie Worth by Michelle Mizner,"{'Michelle Mizner', 'Katie Worth'}",2,set(),0,set(),0
1246,Katrin Freisager,Switzerland,,set(),0,set(),0,set(),0
1247,Kazuma Obara,Japan,"After the tsunami and nuclear disaster in 2011, he began documenting the disaster area, photographing from inside Fukushima Daiichi nuclear power plant. Obara was the first photojournalist to convey the story from inside the plant. His work in the disaster areas was published as the photobook Reset Beyond Fukushima, published by Lars Müller Publishers, Switzerland in March 2012. In 2014, he focused on victims of World War Two in Japan and his self published photobook Silent Histories was shortlisted for Paris Photo/Aperture Photo Book Award and was selected for TIME, Lens Culture, and Telegraph Best Photobook 2014. Continuing his pursuit of nuclear labour issues as a long term project, Obara is currently focusing on workers at Chernobyl nuclear power plant. As of 2015, he is studying at London College of Communication for a master's degree in Photojournalism and Documentary Photography.A partner photographer of Swiss photo agency Keystone, his photographs appear regularly in The Guardian, Courier international, ZEIT, El Mund, BBC, CNN, NHK, and DAYS JAPAN.","{'Silent Histories', 'Fukushima Daiichi', 'Lens Culture', 'Reset Beyond Fukushima', 'Lars Müller Publishers'}",5,"{'TIME', 'Guardian', 'DAYS JAPAN', 'Paris Photo/Aperture Photo Book Award', 'London College of Communication', 'NHK', 'CNN', 'BBC', 'Keystone'}",9,"{'El Mund', 'Chernobyl', 'Japan', 'Switzerland', 'Obara'}",5
1248,Kees Veen,The Netherlands,,set(),0,set(),0,set(),0
1249,Keith Bernstein,United Kingdom,,set(),0,set(),0,set(),0
1250,Keith W. Jenkins,USA,"Keith W. Jenkins began working at NPR July 2008 as the supervising senior producer for multimedia. In this role, he oversees the multimedia unit of NPR.org, responsible for the photography and videography throughout the site. Jenkins and his staff work with NPR shows, reporters and editors on reporting projects providing compelling visuals to match the rich audio storytelling of NPR (formerly National Public Radio). Jenkins spent thirteen years at The Washington Post working in a variety of capacities. He served as a staff photographer and photography director of washingtonpost.com, photography editor of The Washington Post Magazine and deputy assistant managing editor for photography at the newspaper. From 1997 to 1999, Jenkins worked as AOL's first director of photography. Jenkins began his photography career working for the graphic designer Dietmar R. Winkler and then spent five years as a staff photographer for The Boston Globe. Acclaim for Jenkins' work as a photographer and editor has come from the National Press Photographer's Association, White House News Photographers Association, Radio and Television Correspondent's Association, University of Missouri, Society of News Design, the Society of Publication Designers and the Art Director's Clubs of New York, Boston and Washington. In 2007, Jenkins was the photo editor for The Washington Post's Pulitzer Prize-winning series on Walter Reed Army Medical Center and received an Emmy in 2011 as a senior producer on NPR's 'Project Song - Moby'. Throughout his career, Jenkins has given lectures and presentations on photography and multimedia at schools and organizations, including the New England School of Photography, Rhode Island School of Design, The Poynter Institute, University of Miami and American Press Institute. He currently teaches multimedia as an adjunct professor at Georgetown University, in Washington, D.C. Jenkins is a graduate of Brandeis University and the Boston University School of Law. He was a member of the 2012 multimedia contest jury.","{'Jenkins', 'D.C. Jenkins', ""Project Song - Moby'"", 'Dietmar R. Winkler', 'Keith W. Jenkins'}",5,"{'University of Miami', 'Walter Reed Army Medical Center', 'NPR', 'the Boston University School of Law', 'Society of News Design', 'The Poynter Institute', 'The Washington Post', 'The Washington Post Magazine', 'American Press Institute', ""the National Press Photographer's Association"", 'White House News Photographers Association', 'National Public Radio', 'AOL', 'Rhode Island School of Design', 'Georgetown University', 'The Boston Globe', ""The Washington Post's"", 'Clubs of New York', 'NPR July 2008', 'the New England School of Photography', 'the Society of Publication Designers', 'Brandeis University', 'University of Missouri', ""Radio and Television Correspondent's Association""}",24,"{'NPR.org', 'Washington', 'Boston'}",3
1251,Kelli Grant,none,"Currently the Photography Director for Yahoo News, Kelli’s past posts in her 23 years in the industry include, the US Director for PixWays, a photo technology company based in Paris, whose platforms include PixPalace and PixTrakk, and a 13-year stint at Newsweek magazine serving her last seven as Director of Photo Operations. From war, sports & politics to fine art, Kelli has worked with photographers, photo agencies and publications of every genre around the world. She has served on the juries for the International Photography Awards, The Fence at Photoville, AP32 and the Fotoevidence book award.",{'Kelli'},1,"{'Yahoo News', 'PixWays', 'Kelli', 'PixPalace', 'Newsweek', 'Photo Operations', 'AP32', 'PixTrakk', 'the International Photography Awards'}",9,"{'Paris', 'US'}",2
1252,Kemal Jufri,Indonesia,"Kemal Jufri is based in Jakarta, Indonesia. He started his career in photography as a contract photographer for the Agence France Presse (AFP) Jakarta bureau in 1996. At the end of 1998, he left AFP to work as a contributing photographer for Asiaweek, until the magazine closed down in 2001. Since then, as a freelance photographer, Jufri has worked regularly on assignment, covering stories across Asia for major publications around the world including Time, Newsweek, The New York Times, Stern, Der Spiegel, Business Week International and many more. He has also participated in numerous photo exhibitions in Indonesia and internationally. Among his numerous honors are two POYi awards, Picture of the Year accolades from Newsweek (1998), from US News & World Report (2000) and from Time (2005), acknowledgment by Tempo magazine as Indonesian Artist of the Millennium, a Silver Award for news photography from IFRA and a first prize from the China International Press Photo Contest.","{'Der Spiegel', 'Jufri', 'Kemal Jufri', 'Stern'}",4,"{'the China International Press Photo Contest', 'Newsweek', 'Business Week International', 'The New York Times', 'IFRA', 'US News & World Report', 'the Agence France Presse', 'Asiaweek', 'Time', 'AFP', 'Tempo'}",11,"{'Jakarta', 'Indonesia'}",2
1253,Ken Oosterbroek,South Africa,,set(),0,set(),0,set(),0
1254,Ken Regan,USA,,set(),0,set(),0,set(),0
1255,Ken Sakamoto,USA,,set(),0,set(),0,set(),0
1256,Kenneth Jarecke,USA,,set(),0,set(),0,set(),0
1257,Kenneth O'Halloran,Ireland,"Kenneth O'Halloran comes from a small village in the west of Ireland, where his father is the local undertaker. He completed a course in commercial photography at Dun Laoghaire College of Art and Design (now IADT) in Dublin, and after graduating went on to work with Press 22, a photographic agency in Limerick. He then freelanced for a time in Dublin, before joining Independent Newspapers, where he worked for 15 years, ranging from news to sports photography, with regular trips to cover the conflict in Northern Ireland, and to European and World soccer championships. During this time he also traveled with the Irish aid agency Goal to areas of civil unrest and conflict. The first of these trips was to Rwanda in 1994 and subsequently to Iraq following the US invasion, to East Timor, Kosovo and to Banda Ache in Indonesia following the Tsunami. In 2007, O'Halloran left The Irish Independent to pursue a freelance career and concentrate on more personal projects. His accolades include ten Irish Press Photography awards, and he has been a finalist for POYi and the Terry O'Neill awards, among others. O'Halloran has exhibited in Ireland and the UK, and his work as appeared in The Sunday Times Magazine, Paris Match, Time, The Guardian and The Independent.","{""Terry O'Neill"", ""O'Halloran"", 'Paris Match', 'Banda Ache', ""Kenneth O'Halloran"", 'Goal'}",6,"{'Independent Newspapers', 'ten Irish Press Photography', 'Guardian', 'The Irish Independent', 'Independent', 'Dun Laoghaire College', 'IADT', 'The Sunday Times Magazine', 'Time', 'Limerick'}",10,"{'Ireland', 'Kosovo', 'Iraq', 'Northern Ireland', 'Tsunami', 'US', 'East Timor', 'Indonesia', 'Rwanda', 'UK', 'Dublin'}",11
1258,Kent E. Gavin,United Kingdom,,set(),0,set(),0,set(),0
1259,Kent Klich,Sweden,,set(),0,set(),0,set(),0
1260,Kerim Okten,Turkey,"Kerim Okten studied fine-art photography at Mimar Sinan University of Fine Arts, in Istanbul, Turkey. He has worked as a photojournalist for the past 20 years, including three years as chief photographer of the UK and Ireland region for European Pressphoto Agency. Prior to joining EPA, Okten worked freelance for national newspapers, magazines and agencies, covering news and sports assignments around the world, including the 1999 earthquake in Turkey, the earthquake in Iran in 2003, the Olympic Games, and track and field world and European championships. From 2004 to 2008, he was the EPA’s permanent photographer for Formula One coverage. Okten’s photos have appeared worldwide, in such publications as Time, Newsweek, L’Express (for which his picture of Turkish prime minister Erdogan’s first electoral win made the cover), The Guardian, The New York Times, Le Figaro, National Geographic, Sport Illustrated, and Der Spiegel, among others. His photo of the 2011 London riots appeared on the cover of all editions of that week’s Time. His accolades include photos in the 2012 best pictures of the year special edition of Newsweek, and in Time’s best sport pictures of the year selection in 2012. Kerim Okten, 42, died on 10 April when his motorbike was hit by lighting.","{'Erdogan', 'Der Spiegel', 'Sport Illustrated', 'Kerim Okten'}",4,"{'Le Figaro', 'Newsweek', 'Mimar Sinan University of Fine Arts', 'Guardian', 'National Geographic', 'EPA', 'European Pressphoto Agency', 'Formula One', 'Time', 'The New York Times'}",10,"{'Ireland', 'Turkey', 'London', 'Istanbul', 'Iran', 'UK'}",6
1261,Kevin Faingnaert,Belgium,"After obtaining a degree in sociology Faingnaert decided to pursue his dream of becoming a photographer. He considers himself a social documentary photographer, mainly focusing on small groups and communities that are removed from mainstream culture. In April 2016 he completed Føroyar, a series about life in remote and sparsely populated villages on the Faroe Islands, which has been published as a book by Another Place Press. In July 2016 he concluded his series Catch, about the world of professional wrestling in Europe, which was exhibited at the Circulations 2017 photo festival in Paris, France. In 2017 Kevin received first prize in the ZEISS Photography Awards. His work has been published in WIRED, VICE, National Geographic Proof, La Repubblica, Die Zeite, Outside Magazine and many others. Faingnaert was selected to take part in the Joop Swart Masterclass 2017 in Amsterdam.","{'Kevin', 'Faingnaert', 'La Repubblica', 'Die Zeite'}",4,"{'Outside Magazine', 'Føroyar', 'National Geographic Proof', 'Another Place Press'}",4,"{'Paris', 'the Faroe Islands', 'Amsterdam', 'WIRED', 'France'}",5
1262,Kevin Frayer,China,,set(),0,set(),0,set(),0
1263,Kevin Frayer,Canada,"His photographs have been widely published in leading newspapers, magazines and internet sites around the world. ",set(),0,set(),0,set(),0
1264,Kevin WY Lee,Singapore,"Kevin WY Lee is a photographer and creative director based in Singapore. 

Kevin WY Lee has worked in the creative industry in Asia and Australia for over 20 years. In 2010, he founded Invisible Photographer Asia (IPA), an influential platform for photography and visual arts in Asia. Through IPA, Kevin WY Lee participates vigorously in photography and art across the region as a practitioner, curator and educator.

Kevin WY Lee has served as curator and jury for various festivals and programs, including the Angkor Photo Festival (Cambodia), WMA Masters Award (Hong Kong), Singapore International Photography Festival, Odessa/Batumi Photo Days Festival (Ukraine), Prix Pictet Award, and PhotoQuai Biennale (France). He is also an adjunct lecturer at Temasek Polytechnic, Singapore.

Kevin WY Lee is a Design Graduate from the College Of Fine Arts, University Of New South Wales, Australia.


Kevin WY Lee on Social Media: 
Instagram: @kevinwylee
Twitter: @kevinwylee Portrait credit: Sean Lee","{'Lee', 'Kevin WY', 'Sean Lee'}",3,"{'Kevin WY Lee', 'Prix Pictet Award', 'the College Of Fine Arts', 'IPA', 'the Angkor Photo Festival', '@kevinwylee', 'Social Media', 'Odessa/Batumi Photo Days Festival', 'University Of New South Wales', 'Singapore International Photography Festival', 'PhotoQuai Biennale', 'WMA Masters Award', 'Temasek Polytechnic'}",13,"{'Hong Kong', 'Australia', 'Cambodia', 'Singapore', 'France', 'Ukraine'}",6
1265,Khalil Nemmaoui,Morocco,"Khalil Nemmaoui was born in 1967 in Morocco and lives and works between Casablanca and Paris. He followed scientific studies in Morocco and France. After publishing his first images in 1993, he decided to devote himself entirely to photography. He held his first exhibition in 1997. After a short period of classic humanist portraiture, he returned after a time of absence from Morocco to landscape photography with the series 'La Maison de l'Arbre (The House of the Tree)'. The series was nominated for the Prix Pictet 2010 and won the prize of the Organisation Internationale de la Francophonie at the 2011 Rencontres de Bamako. Nemmaoui has participated in several solo and collective exhibitions in Morocco and Europe. He had several artistic residencies, including the Cité des Arts in Paris in 2011.","{'Nemmaoui', ""La Maison de l'Arbre"", 'Khalil Nemmaoui'}",3,"{'the Organisation Internationale de la Francophonie', 'the Cité des Arts', 'the Prix Pictet'}",3,"{'Morocco', 'France', 'Paris', 'Casablanca'}",4
1266,Khalil Senosi,Kenya,,set(),0,set(),0,set(),0
1267,Kieran Dodds,United Kingdom,"His investigative approach places complex news in context and seeks significant detail overlooked in daily reporting. His personal work considers the role of environment in cultural identity.

	After studying zoology at university, he was trained at The Herald newspaper group in Glasgow, picking up national and international awards including UK & Ireland Young Photographer of the Year and a first prize from World Press Photo for his self-assigned story, The Bats of Kasanka. In 2012, he became a Winston Churchill Travel Fellow for his story 'The Third Pole', documenting Tibetan culture in flux as pastoral nomads are resettled in China. Most recently, he focused on his home country during the independence referendum in Land of Scots he considered myths and realities of Scottish identity through the landscape. Freelance for nearly a decade, he lives in Glasgow with his wife Caz.","{'Glasgow', 'Herald', 'Caz'}",3,"{'UK & Ireland Young Photographer of the Year', 'World Press Photo', 'Winston Churchill Travel'}",3,"{'Glasgow', 'China'}",2
1268,Kieran Doherty,Ireland,"Kieran Doherty is a freelance photographer based in England. In 1993, he became a stringer for the Reuters News Picture Service before being offered a staff position based in London in 2000. He travelled extensively, covering spot news stories in northern Ireland, Israel, Yemen, the immediate aftermath of the 2003 Iraq war and the 2004 Asian tsunami to various Olympic Games, Fifa World Cups, Wimbledon Championships and everything else in between. His work has been awarded on numerous occasions and now resides in several permanent art collections. In 2008 Kieran resigned from his staff position to concentrate on personal long-term projects, the first of which involved spending 18 months chronicling the repatriations of fallen British service men and women through the small English town of Wootton Bassett. Throughout his work he continues to explore the theme of human resilience. Kieran’s work has exhibited in London, Barcelona, Perpignan and New York.","{'Perpignan', 'Wootton Bassett', 'Kieran', 'Wimbledon Championships'}",4,"{'Kieran Doherty', 'Fifa World Cups', 'the Reuters News Picture Service'}",3,"{'Israel', 'northern Ireland', 'England', 'London', 'Yemen', 'New York', 'Barcelona'}",7
1269, Kim Dong-Joon,South Korea,,set(),0,set(),0,set(),0
1270, Kim Dong-Joon & Lee Young Woo,South Korea,,set(),0,set(),0,set(),0
1271, Kim Jae Young,South Korea,,set(),0,set(),0,set(),0
1272,Kim Komenich,USA,,set(),0,set(),0,set(),0
1273,Kim Kyung-Hoon,South Korea,"Born in 1974, Kim Kyung-Hoon majored in photography at Chung-Ang University, and received a master’s degree in Photojournalism and Documentary Photography at London College of Communication.  He joined Reuters in 2002. In 2019, he was one of a team of Reuters’ photography staff awarded the Pulitzer Prize for Breaking News Photography, and released a book with the title translated as ‘Guide you through photos: Hidden stories behind photographs’.

World Press Photo Involvement:
2020 Photo Contest award-winning photographer  Kim Kyung-Hoon on Social Media:
Instagram: @kim_reuters_photojournalist
  Image credit: Kim Jung Sun","{'Kim Kyung-Hoon', 'Kim Jung Sun'}",2,"{'Reuters', 'Social Media', 'Chung-Ang University', 'London College of Communication'}",4,{'Hidden'},1
1274,Kira Pollack,none,"Since Pollack joined TIME in October 2009, the brand’s photography has been recognized with many prestigious awards including the World Press photo of the Year, and the Visa D’Or award at Visa Pour l’Image. Pollack spearheaded TIME’s Beyond 9/11 project, which was awarded an Emmy in October of 2012. In March 2011, she established TIME’s photography site LightBox, and in August, 2013, she established TIME’s new documentary film unit, Red Border Films. Previously, Pollack was the Deputy photo editor at The New York Times Magazine.","{'Red Border Films', 'Pollack'}",2,"{'The New York Times Magazine', 'Pollack', 'TIME', 'Visa Pour l’Image', 'the World Press', 'Visa', 'LightBox'}",7,set(),0
1275,Kirk McKoy,USA,,set(),0,set(),0,set(),0
1276,Kitra Cahana,Canada,"Kitra Cahana (24) is a Canadian documentary photographer who had an early start in her career when, aged 17, one of her photographs of the Israeli disengagement from Gaza landed on the front page of The New York Times. In 2007, she joined the newspaper as an intern, going on to take up a scholarship at Benetton’s research communication center in Italy, working on stories around the world for Colors magazine. In 2010, she won a prize in the World Press Photo contest. She is working towards an MA in visual and media anthropology from the Freie Universität in Berlin and is currently in the US producing an ethnography of modern American Nomads.",set(),0,"{'the World Press Photo', 'Kitra Cahana', 'Benetton’s', 'the Freie Universität', 'Colors', 'American Nomads', 'MA', 'The New York Times'}",8,"{'Gaza', 'Berlin', 'Italy', 'US'}",4
1277,Klaas Jan Weij,The Netherlands,,set(),0,set(),0,set(),0
1278,Klaus D. Francke,Germany,,set(),0,set(),0,set(),0
1279,Klaus Gottfredsen,Denmark,,set(),0,set(),0,set(),0
1280,Klaus P. Siebahn,Germany,,set(),0,set(),0,set(),0
1281,Koichiro Tezuka,Japan,"Koichiro Tezuka was born in 1977 in Tokyo, Japan. Since 2003, he has worked as a staff photographer of The Mainichi newspapers. From 2006 to 2009, had was based in the Sendai office. He is now based in Tokyo.",{'Koichiro Tezuka'},1,"{'Mainichi', 'Sendai'}",2,"{'Japan', 'Tokyo'}",2
1282,Koji Aoki,Japan,"Koji Aoki was born in Japan, but in his early 20s went to Switzerland to study philosophy and religion. While in Switzerland, he obtained a ski instructor's license and for five years he worked as a professional ski instructor, both there and in Japan. Aoki began working as a photographer in 1976. With his linguistic ability, he frequently shot overseas. He began his photography career as a commercial photographer, before switching to focus on editorial assignments for ski and golf magazines. By 1990 Aoki was shooting both editorial and commercial photography. He made use of his global experiences in seeking new imagery with an international perspective. He has a long track record in shooting both summer and winter Olympic Games, including the 1998 Nagano Winter Olympics in Japan, where he was leader of the official photo team. Aoki has been extensively awarded for his photography, and is president and chief photographer of the Aflo sports-stock and production companies. He has been responsible for a number of exhibitions and photo books, on numerous occasions producing the official show and publication for the Japanese Olympic Committee.","{'Koji Aoki', 'Aoki'}",2,"{'the Japanese Olympic Committee', 'Aflo', 'Aoki'}",3,"{'Japan', 'Switzerland'}",2
